Title,Platform(s),Genre(s)
Rapala Fishing Pro Series,NS,Simulation
Starlink: Battle for Atlas,"NS, PS4, XBO","Action-adventure, toys-to-life"
Warriors Orochi 4,"Win, NS, PS4, XBO", Hack and Slash
Dies irae: Amantes amentes,NS,Visual novel
Return of the Obra Dinn,"Win, Mac","Puzzle, adventure"
SINNER: Sacarifice for Redemption,"NS, PS4, XBO",Action Role-Playing
Syberia 3,NS,Graphic adventure
WILL: A Wonderful World,NS,Puzzle
Dark Souls Remastered,NS,Action Role-Playing
Soulcalibur VI,"Win, PS4, XBO",Fighting
The Unlikely Legend of Rusty Pup,Win,Platform
SINNER: Sacrifice for Redemption,Win,Action Role-Playing
Bass Pro Shops: The Strike – Championship Edition,NS,Simulation
Cabela's: The Hunt - Championship Edition,NS,Simulation
Gwent: The Witcher Card Game,Win,Card
Just Dance 2019,"NS, PS4, XBO, X360, WiiU, Wii",Dance
Nickelodeon Kart Racers,"NS, PS4, XBO",Kart racing
PAW Patrol: On a Roll!,"Win, NS, PS4, XBO",Platform
Thronebreaker: The Witcher Tales,Win,Role-Playing
Chicken Range,NS,Action
Disaster Report 4 Plus: Summer Memories,PS4,Action adventure
Eve: Burst Error R,NS,Visual novel
Castlevania Requiem,PS4,Platform-adventure
My Hero One's Justice,"Win, NS, PS4, XBO",Action
Red Dead Redemption 2,"PS4, XBO",Action-adventure
Corpse Party 2: Dead Patient,Win,Action
Call of Cthulhu: The Official Video Game,"Win, PS4, XBO","Role-Playing, survival horror"
Dream Daddy: Dadrector's Cut,PS4,Visual novel
Gal Metal,NS,Action
Lego Harry Potter Collection,"NS, XBO",Action-adventure
Mutant Football League: Dynasty Edition,NS,Sports
OK K.O.! Let's Play Heroes,NS,"Action-adventure, beat 'em up"
Sports Party,NS,Simulation
Steven Universe: Save the Light,NS,"Action-adventure, Role-Playing"
Yomawari: The Long Night Collection,NS,Role-Playing
Death Mark,NS,Action
Hidden Folks,NS,Wimmelbilderbuch
Deltarune,"Win, Mac",Role-Playing
The Quiet Man,"Win, PS4",Action-adventure
Diablo III: Eternal Collection,NS,"Action Role-Playing,  Hack and Slash"
Taiko no Tatsujin: Drum 'n' Fun!,NS,Rhythm
Taiko no Tatsujin: Drum Session!,PS4,Rhythm
Moonlighter,NS,Action Role-Playing
Carnival Games,NS,Party
Déraciné,PSVR,Adventure
The Forest,PS4,Survival
Grip: Combat Racing,"Win, NS, PS4, XBO",Simulation
Omen of Sorrow,PS4,Fighting
Overkill's The Walking Dead,Win,First-person shooter
World of Final Fantasy Maxima,"Win, NS, PS4, XBO",Role-Playing
Tsioque,"Win, Mac",Point-and-click adventure
Despotism 3k,"Win, Mac, Lin",Construction and management simulation
11-11: Memories Retold,"Win, PS4, XBO",Adventure
Tetris Effect,PS4,Puzzle
Hitman 2,"Win, PS4, XBO",Stealth
My Riding Stables - Life with Horses,NS,Simulation
Project Highrise: Architect's Edition,NS,Simulation
